04:22:45.076 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.text.ParseException
04:22:45.078 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.lang3.time.DateUtils.parseDate(DateUtils:287)
04:22:45.078 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.lang3.time.DateUtils
04:22:45.079 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
04:22:45.955 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.DateUtils
04:22:45.956 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.DateUtils
04:22:45.971 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 5.
04:22:46.950 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
04:22:46.958 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
04:22:46.966 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
04:22:46.972 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
04:22:47.133 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 1.5
04:22:47.834 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.836 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.841 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.856 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.869 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.869 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.870 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.873 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.873 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.874 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.916 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.917 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.920 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.933 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.951 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.956 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.962 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.963 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.964 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.964 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.965 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.965 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.965 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.966 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:47.985 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 1.5
04:22:47.986 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 1 seconds
04:22:47.986 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
04:22:48.093 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.158 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.159 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.222 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.223 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.257 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.283 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.284 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.289 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.289 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:22:48.293 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
