09:30:48.440 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.ArrayIndexOutOfBoundsException
09:30:48.443 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.lang3.time.FastDateFormat.getInstance(FastDateFormat:165)
09:30:48.444 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.lang3.time.FastDateFormat
09:30:48.444 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
09:30:49.750 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateParser
09:30:49.751 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateParser
09:30:49.752 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateParser$TextStrategy
09:30:49.752 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateParser
09:30:49.753 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateParser
09:30:49.754 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateFormat
09:30:49.754 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateFormat$1
09:30:49.754 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateFormat$1
09:30:49.754 [main] WARN  e.s.botsing.graphs.cfg.CFGGenerator - Could not find the cfg of class org.apache.commons.lang3.time.FastDateFormat$1, method createInstance, and line number 88.
09:30:49.755 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Frame level 8 is an irrelevant frame. We do not count it in the InterProcedural graph
09:30:49.755 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FormatCache
09:30:49.756 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.lang3.time.FastDateFormat
09:30:49.878 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 9.
09:30:51.570 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
09:30:51.588 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
09:30:51.600 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
09:30:51.611 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
09:30:52.069 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 10.5
09:30:53.154 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 4 fitness evolutions and 1 second: 6.5
09:30:54.374 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:54.452 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:54.541 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:54.602 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:54.634 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:54.635 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:54.635 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 6.5
09:30:54.635 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 6.5. PT: 3 seconds
09:30:54.635 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
09:30:55.545 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:55.810 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:55.811 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:55.812 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:55.869 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:55.871 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:55.997 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 6.5 | 100
09:30:56.143 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.146 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.466 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.475 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.475 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.477 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.483 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.493 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.505 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.555 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.680 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.680 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.686 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.687 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.700 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.710 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.714 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:56.745 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 6.5 | 150
09:30:57.170 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.170 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.173 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.177 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.195 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.196 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.197 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.197 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.208 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.209 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.214 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.214 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.216 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.217 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.222 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.238 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.239 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.239 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.239 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.266 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 6.5 | 200
09:30:57.452 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.481 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.496 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.598 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.602 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.699 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.709 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.711 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.716 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.718 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.722 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.725 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.729 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.744 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.745 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.745 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.752 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.754 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.760 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.791 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.792 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.792 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.792 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.803 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 6.5 | 250
09:30:57.811 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.811 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.834 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.867 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.868 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:57.983 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.001 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.017 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.027 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.027 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.041 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.041 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.084 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.084 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.095 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.095 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.107 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.107 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.156 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.157 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.157 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.159 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.160 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.161 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.161 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.162 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.162 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.162 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.163 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.166 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.167 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.169 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.170 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.173 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.175 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.176 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.179 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.183 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.186 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.188 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.189 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.196 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.198 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.198 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.199 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.202 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.203 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.205 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.206 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.207 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.209 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.210 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.211 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.213 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.214 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.217 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.219 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.219 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.235 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.238 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.245 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 6.5 | 300
09:30:58.251 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.252 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.260 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.260 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.267 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.283 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.283 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.352 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.353 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.388 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.388 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.411 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.412 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.423 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.429 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.429 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.429 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.432 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.432 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.434 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.435 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.435 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.436 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.436 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.437 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.438 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.441 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.442 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.442 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.447 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.447 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.448 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.450 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.452 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.453 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.453 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.454 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.464 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.465 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.465 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:30:58.466 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
