04:47:03.194 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.apache.commons.math.MaxIterationsExceededException
04:47:03.197 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.math.special.Erf.erf(Erf:56)
04:47:03.197 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.math.special.Erf
04:47:03.197 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
04:47:03.633 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.special.Gamma
04:47:03.634 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.special.Erf
04:47:03.650 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
04:47:04.371 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
04:47:04.379 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
04:47:04.387 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
04:47:04.394 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
04:47:04.954 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 1.5
04:47:11.636 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.655 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.675 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.676 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.764 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.778 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.780 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.867 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.869 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.884 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.894 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.914 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.933 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.951 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.963 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.982 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.990 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.992 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.993 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.995 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:11.998 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:12.007 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:12.088 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 1.5
04:47:12.089 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 7 seconds
04:47:12.089 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
04:47:13.378 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:13.379 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:13.963 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:13.966 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:14.453 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:14.454 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:16.807 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:18.320 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:18.842 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:18.845 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:19.547 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:19.549 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:22.667 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.549 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.555 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.559 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.560 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.563 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.571 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.572 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.581 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.582 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.586 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.592 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.620 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.621 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.654 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.656 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.666 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.679 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.681 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.682 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.701 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.739 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.740 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.741 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.742 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.760 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.762 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:23.814 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 100
04:47:24.599 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:24.600 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:24.603 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:25.350 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:25.350 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:25.600 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:26.996 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:26.997 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:27.444 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:27.445 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:27.798 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:28.429 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:28.430 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:30.344 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:30.344 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:30.874 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:30.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:31.141 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:31.142 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:31.436 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:31.436 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:32.279 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:32.280 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:32.547 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:32.548 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.790 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.791 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.792 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.793 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.794 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.794 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.795 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.797 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.798 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.798 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.800 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.804 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.805 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.810 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.811 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.811 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.811 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.812 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.817 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.826 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.827 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.827 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.829 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.829 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.830 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.832 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.833 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.834 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.836 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.838 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.842 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.843 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.843 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.843 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.843 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.860 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.861 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.870 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.870 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:33.888 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 150
04:47:34.144 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:34.145 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:35.888 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:35.889 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:36.478 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:36.479 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:38.628 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:39.628 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:39.629 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:39.892 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:39.892 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:40.148 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:41.181 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:41.182 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:41.199 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:41.469 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:41.755 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:41.756 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.021 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.021 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.348 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.349 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.599 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.599 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.600 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.600 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.601 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.601 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.601 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.602 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.604 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.604 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.604 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.605 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.606 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.607 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.608 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.609 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.611 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.611 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
04:47:42.619 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
