05:48:02.156 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.apache.commons.math.exception.TooManyEvaluationsException
05:48:02.159 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.math.analysis.solvers.BaseSecantSolver.doSolve(BaseSecantSolver:161)
05:48:02.159 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.math.analysis.solvers.BaseSecantSolver
05:48:02.159 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
05:48:03.008 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver
05:48:03.009 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver
05:48:03.009 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.solvers.BaseSecantSolver
05:48:03.074 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
05:48:04.742 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
05:48:04.751 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
05:48:04.759 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
05:48:04.767 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
05:48:05.189 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 3.6666666666666665
05:48:05.781 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 3.6666666666666665
05:48:05.781 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 3.6666666666666665. PT: 1 seconds
05:48:05.781 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
05:48:05.921 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 70 fitness evolutions and 1 second: 3.5
05:48:06.655 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 100
05:48:06.655 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 3.5. PT: 1 seconds
05:48:06.957 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 150
05:48:07.304 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 200
05:48:07.367 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.370 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.525 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.526 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.527 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.624 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.664 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 250
05:48:07.684 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.820 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.821 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.853 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.855 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:07.860 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.013 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.014 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.015 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.016 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.016 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.019 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.019 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.020 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.021 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.046 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.047 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.091 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 3.5 | 300
05:48:08.107 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.218 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 338 fitness evolutions and 3 second: 1.5
05:48:08.369 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 350
05:48:08.369 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 3 seconds
05:48:08.553 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.690 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:08.734 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 400
05:48:08.947 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.077 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.109 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 450
05:48:09.242 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.299 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.371 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.371 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.399 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.473 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 500
05:48:09.734 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.772 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.783 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.783 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.783 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.871 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.872 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:09.922 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 550
05:48:10.000 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.001 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.025 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.026 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.088 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.089 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.099 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.101 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.111 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.120 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.127 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.164 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.165 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.165 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.165 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.166 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:48:10.168 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
