05:57:45.267 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.apache.commons.math.exception.NotStrictlyPositiveException
05:57:45.270 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.apache.commons.math.optimization.direct.BaseAbstractVectorialOptimizer.computeObjectiveValue(BaseAbstractVectorialOptimizer:107)
05:57:45.270 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.apache.commons.math.optimization.direct.BaseAbstractVectorialOptimizer
05:57:45.270 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
05:57:45.643 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.function.Gaussian$Parametric
05:57:45.644 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.analysis.function.Gaussian$Parametric
05:57:45.644 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.optimization.fitting.CurveFitter$TheoreticalValuesFunction
05:57:45.644 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.apache.commons.math.optimization.direct.BaseAbstractVectorialOptimizer
05:57:45.664 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
05:57:46.773 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
05:57:46.781 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
05:57:46.790 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
05:57:46.797 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
05:57:47.261 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 4.5
05:57:48.101 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
05:57:48.101 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 1 seconds
05:57:48.102 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
05:57:48.223 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:48.225 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.444 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.445 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.445 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.445 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.551 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.598 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 100
05:57:53.607 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.608 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.697 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.697 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.728 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.729 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.741 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.742 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.835 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.836 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.841 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.842 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.871 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.871 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.879 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.879 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.950 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.950 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:53.950 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.002 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 150
05:57:54.023 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.024 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.049 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.119 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.120 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.165 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.165 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.185 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.185 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.204 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.204 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.204 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.207 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.207 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.210 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.215 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.232 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.233 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.278 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.282 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.288 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.288 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.288 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.493 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.493 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.493 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.496 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 200
05:57:54.505 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.505 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.508 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.509 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.516 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.516 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.520 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.520 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.528 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.528 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.531 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.531 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.542 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.542 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.551 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.557 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.557 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.571 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.571 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.590 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.591 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.602 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.602 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.613 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.613 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.618 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.618 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.618 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.618 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.619 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.619 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.623 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.624 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.625 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.627 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.629 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.632 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.633 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.641 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.642 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.651 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.655 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.656 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.656 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.666 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.667 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.667 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.678 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.678 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.678 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.688 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.688 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.698 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.698 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.698 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.709 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.728 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 250
05:57:54.735 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.735 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.753 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.753 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.754 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.759 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.760 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.770 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.778 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.778 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.785 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.800 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.800 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.807 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.807 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.811 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.811 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.815 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.815 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.821 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.828 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.828 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.836 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.837 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.843 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.856 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.856 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.864 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.865 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.865 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.866 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.872 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.872 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.872 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.873 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.874 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.874 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.874 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.877 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.878 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.878 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.880 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.881 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.881 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.887 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.887 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.887 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.887 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.887 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
05:57:54.890 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
