03:33:34.105 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.NullPointerException
03:33:34.108 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool.toStringEquals(ArgumentMatchingTool:48)
03:33:34.108 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool
03:33:34.108 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
03:33:34.580 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool
03:33:34.581 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool
03:33:34.581 [main] WARN  e.s.botsing.graphs.cfg.CFGGenerator - Could not find the cfg of class org.mockito.internal.verification.argumentmatching.ArgumentMatchingTool, method getSuspiciouslyNotMatchingArgsIndexes, and line number 28.
03:33:34.582 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Found 2 candidates to repair the stack trace line number
03:33:34.582 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - detect_missing_line option is enabled.We will make a link beetween each of the lin
03:33:34.583 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Selected candidate is in line 30 of method getSuspiciouslyNotMatchingArgsIndexes(Ljava/util/List;[Ljava/lang/Object;)[Ljava/lang/Integer;
03:33:34.596 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 3.
03:33:36.392 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
03:33:36.404 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
03:33:36.415 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
03:33:36.439 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
03:33:36.798 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 2.8
03:33:36.949 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:36.950 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:36.950 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:36.966 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.080 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.086 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.086 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.093 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.093 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.102 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.145 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.146 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.270 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.391 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.391 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.391 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.392 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.392 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.397 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.449 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.449 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.450 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.450 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.462 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.463 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:33:37.500 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 2.8
