09:17:16.107 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.mockito.exceptions.base.MockitoException
09:17:16.111 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.mockito.internal.handler.MockHandlerImpl.handle(MockHandlerImpl:93)
09:17:16.111 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.mockito.internal.handler.MockHandlerImpl
09:17:16.111 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
09:17:18.263 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.exceptions.Reporter
09:17:18.264 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.invocation.InvocationImpl
09:17:18.264 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.stubbing.answers.CallsRealMethods
09:17:18.264 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.mockito.internal.handler.MockHandlerImpl
09:17:18.280 [main] WARN  e.s.b.c.g.c.BotsingRawControlFlowGraph - method cannotCallAbstractRealMethod()V does not have any exit point
09:17:18.305 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 4.
09:17:20.107 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
09:17:20.116 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
09:17:20.123 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
09:17:20.137 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
09:17:20.596 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 4.75
09:17:21.616 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.75
09:17:21.616 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.75. PT: 1 seconds
09:17:21.616 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
09:17:21.903 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:21.906 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.407 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.407 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.408 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.408 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.408 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.481 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.531 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.75 | 100
09:17:22.569 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.570 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.585 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.586 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.649 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.652 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.931 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.939 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.947 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.948 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:22.948 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.088 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.088 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.118 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.75 | 150
09:17:23.137 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.137 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.144 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.145 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.181 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.181 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.450 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.452 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.453 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.455 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.463 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.466 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.467 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.470 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.484 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.485 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.487 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.499 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.581 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.582 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.633 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.75 | 200
09:17:23.675 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.682 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.701 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.701 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.783 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.784 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.867 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.867 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.891 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.891 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.947 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.947 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.959 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.960 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.975 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.976 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.976 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.980 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.980 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.985 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.985 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.986 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.989 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.989 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.989 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.989 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.990 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.998 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:23.999 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.000 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.000 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.006 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.006 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.006 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.013 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.013 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.014 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.024 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:17:24.031 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.75 | 250
