09:38:11.391 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.joda.time.IllegalFieldValueException
09:38:11.394 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.joda.time.MonthDay.withFieldAdded(MonthDay:519)
09:38:11.394 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.joda.time.MonthDay
09:38:11.395 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
09:38:13.060 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.field.FieldUtils
09:38:13.062 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.field.PreciseDurationDateTimeField
09:38:13.062 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.chrono.BasicMonthOfYearDateTimeField
09:38:13.062 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.MonthDay
09:38:13.082 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 5.
09:38:15.947 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
09:38:15.956 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
09:38:15.963 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
09:38:15.970 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
09:38:16.343 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 4.5
09:38:17.244 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.245 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.245 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.245 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.379 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.381 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.382 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.383 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.434 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.481 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.483 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
09:38:17.541 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
09:38:17.541 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 1 seconds
09:38:17.541 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
