10:16:03.155 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.IllegalArgumentException
10:16:03.158 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.joda.time.Partial.with(Partial:466)
10:16:03.158 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.joda.time.Partial
10:16:03.158 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
10:16:03.844 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.Partial
10:16:03.851 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.Partial
10:16:03.962 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 5.
10:16:06.247 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
10:16:06.255 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
10:16:06.262 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
10:16:06.269 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
10:16:06.632 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 1.5
10:16:07.503 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 1.5
10:16:07.504 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 1 seconds
10:16:07.504 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
10:16:08.006 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 100
10:16:08.466 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 150
10:16:08.612 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:08.613 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:08.635 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:08.753 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:08.754 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:08.754 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:08.755 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:08.787 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:08.809 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 200
10:16:09.084 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:09.105 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:09.106 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:16:09.124 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
