11:00:58.881 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.UnsupportedOperationException
11:00:58.884 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.joda.time.Period.withYears(Period:896)
11:00:58.884 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.joda.time.Period
11:00:58.884 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
11:01:00.218 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.PeriodType
11:01:00.218 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.joda.time.Period
11:01:00.227 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 5.
11:01:01.926 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
11:01:01.939 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
11:01:01.948 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
11:01:01.956 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
11:01:02.291 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 1.5
11:01:03.039 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.042 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.071 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.130 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.149 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.169 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.231 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.413 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.439 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 1.5
11:01:03.439 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 1 seconds
11:01:03.439 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
11:01:03.493 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.545 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.546 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.746 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.826 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.826 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.854 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.855 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.866 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.870 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.877 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.941 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.955 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.956 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.957 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.959 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.964 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.965 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.969 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.972 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:03.995 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.005 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.009 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.018 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.067 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.087 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 100
11:01:04.147 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.147 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.155 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.172 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.184 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.185 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.193 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.212 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.283 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.339 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.345 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.354 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.396 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.405 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.405 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.416 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.448 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.450 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.468 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.485 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.485 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.498 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.501 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.502 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.508 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.541 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.541 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.551 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.601 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.601 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.705 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.766 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 150
11:01:04.782 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.795 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.807 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.846 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.855 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.861 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.868 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.873 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.884 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.890 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.906 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.910 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.921 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.923 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.936 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.941 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.947 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.954 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.958 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.958 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.965 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.978 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.978 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.982 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.990 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.992 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:04.996 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.027 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.054 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.055 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.056 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.069 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.077 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.083 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.087 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.087 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.089 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.130 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.131 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.131 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.131 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.131 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.134 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 200
11:01:05.139 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.146 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.151 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.152 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.156 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.168 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
11:01:05.174 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
