10:38:11.815 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.ClassCastException
10:38:11.818 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.extension.job.internal.UpgradePlanJob.upgradeExtension(UpgradePlanJob:85)
10:38:11.818 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.extension.job.internal.UpgradePlanJob
10:38:11.818 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
10:38:13.869 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.job.internal.AbstractInstallPlanJob$ModifableExtensionPlanTree
10:38:13.870 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.job.internal.UpgradePlanJob
10:38:13.870 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.job.internal.UpgradePlanJob
10:38:13.870 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.job.internal.UpgradePlanJob
10:38:13.885 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 577.
10:38:27.567 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
10:38:27.584 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
10:38:27.594 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
10:38:27.601 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
10:38:29.223 [main] ERROR e.s.b.f.t.f.StackTraceChromosomeFactory - Guided initialization failed. Please revise the target class and method!
10:38:29.224 [main] WARN  e.s.b.g.s.GuidedSingleObjectiveGA - Botsing was unsuccessful in generating the initial population. cause: Guided initialization failed. Please revise the target class and method!
10:38:30.468 [main] ERROR e.s.b.f.t.f.StackTraceChromosomeFactory - Guided initialization failed. Please revise the target class and method!
10:38:30.469 [main] WARN  e.s.b.g.s.GuidedSingleObjectiveGA - Botsing was unsuccessful in generating the initial population. cause: Guided initialization failed. Please revise the target class and method!
10:38:31.323 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 3 second: 4.8
10:38:31.486 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:31.487 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.8
10:38:31.487 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.8. PT: 3 seconds
10:38:31.487 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
10:38:31.946 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:31.946 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:32.151 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:32.152 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:32.216 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:32.813 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:32.814 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:33.008 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:33.008 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:33.490 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:33.491 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:33.594 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:33.594 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:33.691 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:33.691 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.008 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.009 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.165 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.166 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.515 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.515 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.579 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.594 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.771 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.772 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.802 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.827 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.828 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.847 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.851 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.859 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.863 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.866 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.866 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.870 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.874 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.893 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.897 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.897 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.904 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.911 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.934 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.938 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.941 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.966 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.967 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.980 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.980 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.984 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.996 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:34.997 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.001 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.020 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.020 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.023 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.025 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.025 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.025 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.027 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.027 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.034 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.036 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
10:38:35.036 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
