12:12:39.693 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.NullPointerException
12:12:39.707 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.platform.wiki.creationjob.internal.WikiCreationJob.runInternal(WikiCreationJob:80)
12:12:39.707 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.platform.wiki.creationjob.internal.WikiCreationJob
12:12:39.708 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
12:12:43.741 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.repository.internal.installed.DefaultInstalledExtensionRepository
12:12:43.742 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.repository.internal.installed.DefaultInstalledExtensionRepository
12:12:43.743 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.job.internal.AbstractExtensionJob
12:12:43.745 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.job.internal.AbstractExtensionJob
12:12:43.749 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.job.internal.AbstractExtensionJob
12:12:43.750 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.extension.job.internal.InstallJob
12:12:43.752 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.job.AbstractJob
12:12:43.753 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.job.AbstractJob
12:12:43.754 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.platform.wiki.creationjob.internal.ExtensionInstaller
12:12:43.755 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.platform.wiki.creationjob.internal.steps.ProvisionWikiStep
12:12:43.756 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.platform.wiki.creationjob.internal.WikiCreationJob
12:12:44.077 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 585.
12:12:56.284 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
12:12:56.297 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
12:12:56.306 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
12:12:56.315 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
12:13:02.024 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 5 second: 11.991935483870968
12:13:42.960 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 11.991935483870968
12:13:42.960 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 11.991935483870968. PT: 46 seconds
12:13:42.960 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
12:13:48.068 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.564 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.569 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.583 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.588 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.738 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.804 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.804 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.804 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:14:23.867 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 11.991935483870968 | 100
12:15:24.375 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.375 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.375 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.439 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.455 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.469 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.484 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.485 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.503 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.504 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.504 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.507 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.507 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.513 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.570 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.580 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.581 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:15:24.582 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 11.991935483870968 | 150
12:15:29.592 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:04.890 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:09.957 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:30.155 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:40.177 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:40.180 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:50.609 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:50.609 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:50.644 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:50.645 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
12:16:50.645 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
