03:31:07.447 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.util.NoSuchElementException
03:31:07.451 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.rendering.wikimodel.xhtml.XhtmlParser.parse(XhtmlParser:132)
03:31:07.451 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.rendering.wikimodel.xhtml.XhtmlParser
03:31:07.451 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
03:31:08.369 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 589.
03:31:22.951 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
03:31:22.960 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
03:31:22.967 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
03:31:22.973 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
03:31:23.198 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 4.5
03:31:23.980 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:23.981 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:23.981 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:23.984 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:23.984 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:23.984 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:23.986 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:23.987 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.009 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.012 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.013 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.017 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.020 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.021 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.021 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.023 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.026 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.028 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.028 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.032 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.037 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.037 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.039 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.040 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.043 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.043 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.045 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.048 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.048 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.050 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.051 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.051 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.053 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.054 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.072 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.072 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.072 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.076 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.077 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.077 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.079 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.079 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.079 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.086 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.086 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.090 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.096 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.097 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.130 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.159 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
03:31:24.159 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 1 seconds
03:31:24.159 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
03:31:24.198 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.246 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.246 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.259 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
03:31:24.259 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
