06:02:45.953 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.hibernate.exception.SQLGrammarException
06:02:45.957 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: com.xpn.xwiki.store.XWikiHibernateBaseStore.execute(XWikiHibernateBaseStore:1299)
06:02:45.957 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: com.xpn.xwiki.store.XWikiHibernateBaseStore
06:02:45.957 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
06:02:53.969 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.exception.SQLStateConverter
06:02:53.970 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.exception.JDBCExceptionHelper
06:02:53.970 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.loader.Loader
06:02:53.970 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.loader.Loader
06:02:53.970 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.loader.Loader
06:02:53.971 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.loader.hql.QueryLoader
06:02:53.971 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.hql.ast.QueryTranslatorImpl
06:02:53.971 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.engine.query.HQLQueryPlan
06:02:53.972 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.impl.SessionImpl
06:02:53.972 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.hibernate.impl.QueryImpl
06:02:53.972 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.store.hibernate.query.HqlQueryExecutor$1
06:02:53.973 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.store.hibernate.query.HqlQueryExecutor$1
06:02:53.973 [main] WARN  e.s.botsing.graphs.cfg.CFGGenerator - Could not find the cfg of class com.xpn.xwiki.store.hibernate.query.HqlQueryExecutor$1, method doInHibernate, and line number 142.
06:02:53.974 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Frame level 12 is an irrelevant frame. We do not count it in the InterProcedural graph
06:02:53.974 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing com.xpn.xwiki.store.XWikiHibernateBaseStore
06:02:54.107 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 589.
06:03:04.509 [main] INFO  org.hibernate.cfg.Environment - Hibernate 3.6.9.Final
06:03:04.512 [main] INFO  org.hibernate.cfg.Environment - hibernate.properties not found
06:03:04.516 [main] INFO  org.hibernate.cfg.Environment - Bytecode provider name : javassist
06:03:04.518 [main] INFO  org.hibernate.cfg.Environment - using JDK 1.4 java.sql.Timestamp handling
06:03:18.393 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
06:03:18.408 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
06:03:18.439 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
06:03:18.478 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
06:03:19.330 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 13.5
06:03:20.717 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.718 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.718 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.745 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.746 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.770 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.772 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.792 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.843 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.844 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.898 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.898 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.903 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.975 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.979 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.984 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.985 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:20.987 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.001 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.068 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.096 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.098 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.101 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.104 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.109 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.109 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.139 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.140 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.153 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.156 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.174 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
06:03:21.181 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
