19:59:06.063 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.IllegalArgumentException
19:59:06.066 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.search.solr.internal.reference.DocumentSolrReferenceResolver.getReferences(DocumentSolrReferenceResolver:121)
19:59:06.067 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.search.solr.internal.reference.DocumentSolrReferenceResolver
19:59:06.067 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
19:59:08.300 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 585.
19:59:45.865 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
19:59:45.878 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
19:59:45.887 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
19:59:45.895 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
19:59:54.692 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 8 second: 4.5
19:59:56.612 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
19:59:56.612 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 10 seconds
19:59:56.613 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
19:59:56.775 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
19:59:56.777 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
19:59:59.985 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
19:59:59.986 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
19:59:59.986 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
19:59:59.986 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:00.405 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:00.607 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 100
20:00:01.448 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:01.448 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.101 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.101 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.295 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.356 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.558 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.558 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.581 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.603 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.637 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.637 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.637 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.637 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.687 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.688 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:02.771 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 150
20:00:03.146 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:03.146 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:03.191 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:03.191 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.087 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.088 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.184 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.184 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.360 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.360 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.360 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.363 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.435 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.436 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.436 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.458 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.459 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.459 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.486 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.583 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.584 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.584 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.584 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.775 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.775 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.775 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.775 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.777 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
20:00:04.791 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.791 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.791 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.808 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.863 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.867 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
20:00:04.899 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
20:00:04.938 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 200
