11:35:01.274 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.ClassCastException
11:35:01.278 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: com.xpn.xwiki.plugin.ldap.XWikiLDAPUtils.updateUserFromLDAP(XWikiLDAPUtils:1183)
11:35:01.278 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: com.xpn.xwiki.plugin.ldap.XWikiLDAPUtils
11:35:01.279 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
11:35:03.451 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 566.
11:35:27.556 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
11:35:27.566 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
11:35:27.577 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
11:35:27.587 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
11:35:44.200 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 16 second: 5.916666666666666
11:35:45.141 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 4 fitness evolutions and 17 second: 4.5
11:35:45.853 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:45.871 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:45.944 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
11:35:45.944 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 18 seconds
11:35:45.944 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
11:35:46.734 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:46.735 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:46.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:46.914 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 100
11:35:48.855 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:49.109 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:49.109 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:49.133 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:49.255 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 150
11:35:49.273 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:49.273 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:49.349 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:50.907 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:50.907 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:50.907 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:50.952 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:50.957 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:50.957 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.043 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.049 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.133 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.135 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.135 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.135 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.143 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.144 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.337 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 200
11:35:51.769 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:51.854 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.083 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.083 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.090 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.090 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.097 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.097 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.203 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.235 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.237 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.240 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.240 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.250 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.251 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.251 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.251 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.252 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.271 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.272 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.306 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.340 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.340 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.340 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.350 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.350 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.350 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.369 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.369 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.369 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.372 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.373 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.373 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.385 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.385 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.391 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.391 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.448 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.448 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.461 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 4.5 | 250
11:35:52.468 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.468 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.672 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.673 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.681 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.681 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.718 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.740 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.740 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.781 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:52.781 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.014 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.014 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.051 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.051 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.266 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.268 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.268 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.268 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.269 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.271 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.273 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
11:35:53.275 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
