19:40:36.678 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.xwiki.mail.MailStoreException
19:40:36.681 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.mail.internal.DatabaseMailStatusStore.load(DatabaseMailStatusStore:142)
19:40:36.681 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.mail.internal.DatabaseMailStatusStore
19:40:36.681 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
19:40:38.143 [main] INFO  e.s.botsing.graphs.cfg.CFGGenerator - Analyzing org.xwiki.mail.internal.DatabaseMailStatusStore
19:40:38.171 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 578.
19:40:59.211 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
19:40:59.220 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
19:40:59.227 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
19:40:59.234 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
19:41:02.968 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 3 second: 1.5
19:41:03.981 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 1.5
19:41:03.981 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 1.5. PT: 4 seconds
19:41:03.981 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
19:41:04.726 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:04.727 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:05.156 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:05.156 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:05.172 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:05.381 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:05.440 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 1.5 | 100
19:41:05.875 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:05.876 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:06.906 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:06.907 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:07.075 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
19:41:07.075 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
