14:48:39.566 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: org.xwiki.mail.MailStoreException
14:48:39.569 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: org.xwiki.mail.internal.thread.SendMailRunnable.runInternal(SendMailRunnable:117)
14:48:39.570 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: org.xwiki.mail.internal.thread.SendMailRunnable
14:48:39.570 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
14:48:40.676 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 578.
14:49:02.766 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
14:49:02.775 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
14:49:02.786 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
14:49:02.792 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
14:49:03.361 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 5.980392156862745
14:49:04.019 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.019 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.019 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.047 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.047 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.047 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.054 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.054 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.060 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.060 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.207 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.208 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.208 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.208 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.258 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.259 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.259 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.259 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.280 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.281 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.282 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.287 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.287 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.288 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.333 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.333 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.333 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.333 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.334 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.334 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.334 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.334 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.335 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.336 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.337 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 5.980392156862745
14:49:04.337 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 5.980392156862745. PT: 1 seconds
14:49:04.337 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
14:49:04.384 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.396 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.397 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.601 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.601 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.634 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.658 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:04.658 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.767 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.767 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.767 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.767 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.767 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.768 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.771 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.772 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.787 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.859 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.860 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.860 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.860 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.865 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.881 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.882 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.882 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.883 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.933 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.935 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.937 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.953 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.959 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.959 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.959 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.960 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.960 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.960 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.961 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.961 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:07.968 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the current population: 5.980392156862745 | 100
14:49:11.278 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.278 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.338 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.339 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.406 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.409 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.410 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.423 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.481 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.481 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.486 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.487 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.489 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.489 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.489 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.494 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.494 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.500 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.501 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.501 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.501 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.509 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.534 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.534 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.540 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.540 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.540 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.540 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.552 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.552 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.552 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.556 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.556 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.587 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.587 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.587 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.587 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.587 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.742 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.742 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.743 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.743 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.743 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.769 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.769 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.770 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
14:49:11.778 [main] INFO  e.s.b.s.BasicBlockCoverage - *C2*
