17:24:50.638 [main] INFO  eu.stamp.botsing.StackTrace - Exception type is detected: java.lang.NullPointerException
17:24:50.643 [main] INFO  eu.stamp.botsing.StackTrace - Target frame is set to: com.xpn.xwiki.internal.event.AttachmentEventGeneratorListener.onEvent(AttachmentEventGeneratorListener:88)
17:24:50.644 [main] INFO  eu.stamp.botsing.StackTrace - Target Class is set to: com.xpn.xwiki.internal.event.AttachmentEventGeneratorListener
17:24:50.644 [main] INFO  eu.stamp.botsing.Botsing - Single_Objective_GGA
17:24:51.758 [main] INFO  e.stamp.botsing.commons.SetupUtility - Starting the dependency analysis. The number of detected jar files is 577.
17:25:09.262 [main] INFO  e.stamp.botsing.commons.SetupUtility - Analysing dependencies done!
17:25:09.270 [main] INFO  e.s.b.t.s.BotsingIndividualStrategy - test generation strategy: Botsing individual
17:25:09.276 [main] INFO  e.s.b.s.TestCaseSecondaryObjective - Secondary Objectives: BasicBlockCoverage
17:25:09.282 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Initializing the first population with size of 50 individuals
17:25:09.732 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 1 fitness evolutions and 0 second: 5.785714285714286
17:25:10.055 [main] INFO  e.s.b.f.utils.CrashDistanceEvolution - New value for Crash Distance after 3 fitness evolutions and 0 second: 4.5
17:25:15.625 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
17:25:15.625 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
17:25:15.625 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
17:25:15.865 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
17:25:15.956 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the initial population is: 4.5
17:25:15.957 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Best fitness in the final population is: 4.5. PT: 6 seconds
17:25:15.957 [main] INFO  e.s.b.g.s.GuidedSingleObjectiveGA - Starting evolution
17:25:16.614 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
17:25:16.621 [main] INFO  e.s.b.s.BasicBlockCoverage - *C1*
